"entityID","entity","tier1and2entity","tier1and2entityID","entityIDAbove","mission","website","operational","decision","regulatory","research","level"
"n01","Colorado","Colorado",1,"NA",NA,"https://www.colorado.com/","Yes","Yes","Yes","Yes",1
"n02","Department of Natural Resources","Department of Natural Resources",2,"n01","manage and conserve Colorado’s natural resources for the benefit of people today – and tomorrow","https://cdnr.us/#/start","Yes","Yes","Yes","Yes",2
"n03","Colorado Avalance Information Center","Department of Natural Resources",2,"n02","to provide avalanche information, education and promote research for the protection of life, property and the enhancement of the state’s economy.","https://avalanche.state.co.us/","No","No","No","Yes",3
"n04","Division of Forestry","Department of Natural Resources",2,"n02","achieve stewardship of Colorado’s diverse forest environments for the benefit of present and future generations.","https://csfs.colostate.edu/","No","Yes","No","No",3
"n05","Division of Reclamation, Mining & Safety","Department of Natural Resources",2,"n02","protect the public, miners and the environment during current mining operations, restore abandoned mines, and to ensure that all mined land is reclaimed to beneficial use.","https://www.colorado.gov/drms","Yes","No","Yes","No",3
"n06","Colorado Oil & Gas Conservation Commision","Department of Natural Resources",2,"n02","regulate the development and production of the natural resources of oil and gas in the state of Colorado in a manner that protects public health, safety, welfare, the environment and wildlife resources.","http://cogcc.state.co.us/","No","No","Yes","No",3
"n07","Division of Parks & Wildlife","Department of Natural Resources",2,"n02","perpetuate the wildlife resources of the state, to provide a quality state parks system, and to provide enjoyable and sustainable outdoor recreation opportunities that educate and inspire current and future generations to serve as active stewards of Colorado's natural resources.","http://cpw.state.co.us/","No","Yes","No","No",3
"n08","Division of Water Resources","Department of Natural Resources",2,"n02","administer the waters of the State to maximize lawful beneficial use, ensure that dams and water wells are properly constructed and safe, and provide information about water resources to the public.","http://water.state.co.us","Yes","Yes","Yes","Yes",3
"n09","Dam Safety Program","Departmentof Natural Resources",2,"n08","carries out two principal statutorily defined duties; determining the safe storage level of the reservoir dams, and reviewing and approving plans and specifications for the construction and repair of Jurisdictional dams, modern dam safety best-practice includes an assortment of engineering and risk management tools","https://dwr.colorado.gov/services/dam-safety","Yes","No","Yes","No",4
"n10","Data and Information Program","Departmentof Natural Resources",2,"n08","supports and maintains DWR's database of streamflows, diversion records, lake storage levels, water rights and more in order to support water administration and inform the public","https://dwr.colorado.gov/services/data-information","Yes","Yes","No","No",4
"n11","Water Administration","Departmentof Natural Resources",2,"n08","administers water rights calls","https://dwr.colorado.gov/services/water-administration","Yes","No","Yes","No",4
"n12","Well Construction and Inspection Program","Departmentof Natural Resources",2,"n08","protects the groundwater resources and public health through enforcement of minimum well construction and pump installation standards","https://dwr.colorado.gov/services/well-construction-inspection","No","No","Yes","No",4
"n13","Well Metering Program","Departmentof Natural Resources",2,"n08","oversees State Engineer rules on measuring groundwater with interstate compacts and intrabasin concerns","https://dwr.colorado.gov/services/well-metering","Yes","Yes","Yes","No",4
"n14","Well Permitting Program","Departmentof Natural Resources",2,"n08","issues and maintains permits on well water use","https://dwr.colorado.gov/services/well-permitting","Yes","No","Yes","No",4
"n15","Water Conservation Board","Department of Natural Resources",2,"n02","represents each major water basin, Denver and other state agencies in our joint effort to use water wisely and protect our water for future generations.","https://cwcb.colorado.gov/","Yes","Yes","Yes","Yes",3
"n16","Supply Focus Area","Department of Natural Resources",2,"n15","envisions a Colorado that balances municipal, industrial, agricultural, environmental and recreational water needs and promotes cooperation among all water uses. The vision is supported by many water supply goals, which, when evaluated together, support the development of more balanced water supply strategies.","https://cwcb.colorado.gov/supply","Yes","Yes","Yes","Yes",4
"n17","Ecosystem Health Focus Area","Department of Natural Resources",2,"n15","develops managmeent strategies tha tprotect and restore our natural ecosystem services, wildlife, and diverse plant communities","https://cwcb.colorado.gov/ecosystem-health","Yes","Yes","Yes","Yes",4
"n18","Interstate Focus Area","Department of Natural Resources",2,"n15","partners with downstream neighbors to manage water in Colorado following nine Interstate Compacts and an international treaty with Mexico","https://cwcb.colorado.gov/interstate-new","No","Yes","Yes","No",4
"n19","Industries Focus Area","Department of Natural Resources",2,"n15","explores how Colorado industries directly impact the state's water resources","https://cwcb.colorado.gov/industries","No","Yes","No","Yes",4
"n20","Hazards Focus Area","Department of Natural Resources",2,"n15","coordinates with agencies statewide to build resilience to natural hazards","https://cwcb.colorado.gov/hazards","Yes","Yes","No","No",4
"n21","Department of Public Health & Environment","Department of Public Health & Environment",3,"n01","advancing Colorado’s health and protecting the places we live, learn, work, and play.","https://www.colorado.gov/cdphe","Yes","Yes","Yes","Yes",2
